key;group;minus_words;landing;intent;note
"чат бот !по документам";search_bofu_docs_rag;"бесплатно скачать курс обучение вакансии работа резюме windows pdf word ctrl клавиши";/request-demo;BOFU;"Ваш differentiator: «ответ + источник»"
"чат gpt !по документам";search_mofu_docs_rag;"бесплатно скачать курс обучение промпт промты шаблон windows pdf word";/;MOFU;"Часть интента «как сделать самому» — отсекать «как/настройка» при желании"
"rag внедрение";search_bofu_docs_rag;"бесплатно скачать курс обучение вакансии работа резюме";/request-demo;BOFU;"Узкий B2B/IT"
"rag llm !для поиска !по документам";search_bofu_docs_rag;"бесплатно скачать курс обучение вакансии работа резюме";/request-demo;BOFU;"Супер‑нишевый"
"системы поиска !по документам";search_bofu_enterprise_search;"бесплатно скачать курс обучение вакансии работа резюме windows pdf word ctrl";/request-demo;BOFU;"Целевой enterprise‑интент"
"интеллектуальный поиск !по документам";search_bofu_enterprise_search;"бесплатно скачать курс обучение вакансии работа резюме windows pdf word ctrl";/request-demo;BOFU;"Ближе к AI‑поиску"
"enterprise search";search_mofu_enterprise_search;"бесплатно скачать курс обучение вакансии работа резюме";/;MOFU;"Обычно сравнение продуктов — вести на лендинг + ретаргет"
"naumen enterprise search";search_competitor_enterprise_search;"бесплатно скачать курс обучение вакансии работа резюме";/;MOFU;"Конкурентный интент; аккуратно с формулировками"
"поиск !по базе знаний";search_mofu_docs_kb;"бесплатно скачать курс обучение вакансии работа резюме";/;MOFU;"ITSM/поддержка"
"локальные llm";search_mofu_onprem_llm;"бесплатно скачать курс обучение промпт промты шаблон видеокарта на пк как запустить";/;MOFU;"Много DIY; держать отдельной кампанией + ретаргет"
"локальная llm модель";search_mofu_onprem_llm;"бесплатно скачать курс обучение промпт промты шаблон видеокарта на пк как запустить";/;MOFU;"DIY‑интент выше среднего"
"локальное развертывание llm";search_bofu_onprem_llm;"бесплатно скачать курс обучение вакансии работа резюме видеокарта на пк";/request-demo;BOFU;"Наиболее «проектный» on‑prem запрос"
"развертывание локальной llm !на сервере";search_bofu_onprem_llm;"бесплатно скачать курс обучение вакансии работа резюме";/request-demo;BOFU;"Очень релевантно, но низкая частота"
"on prem llm";search_bofu_onprem_llm;"бесплатно скачать курс обучение вакансии работа резюме premier premium";/request-demo;BOFU;"Снижает шум «on prem»"
"on prem ai";search_bofu_onprem_llm;"бесплатно скачать курс обучение вакансии работа резюме premier premium";/request-demo;BOFU;"Снижает шум «on prem»"
"корпоративный chatgpt";search_mofu_providers;"бесплатно скачать курс обучение промпт промты шаблон";/;MOFU;"Вход через знакомый бренд"
"chatgpt !для бизнеса";search_mofu_providers;"бесплатно скачать курс обучение промпт промты шаблон";/;MOFU;"Часто про промпты; держать в отдельной кампании"
"gigachat !для бизнеса";search_mofu_providers;"бесплатно скачать курс обучение промпт промты шаблон";/;MOFU;"Вход через провайдера"
"yandexgpt !для бизнеса";search_mofu_providers;"бесплатно скачать курс обучение промпт промты шаблон";/;MOFU;"Вход через провайдера"
"суверенный !ии";search_test_sovereign_ai;"бесплатно скачать курс обучение промпт промты шаблон";/;MOFU;"Тестовый кластер: термин нестабилен по интенту"
"суверенный !ии россия";search_test_sovereign_ai;"бесплатно скачать курс обучение промпт промты шаблон";/;MOFU;"Тестовый кластер"
"ai !в закрытом контуре";search_test_closed_contour;"отопление котел теплый пол колебательный контур дыхательный контур";/;MOFU;"Тестировать только с жёсткой минусацией (термин многозначный)"
"llm !в закрытом контуре";search_test_closed_contour;"отопление котел теплый пол колебательный контур дыхательный контур";/;MOFU;"Тестовая гипотеза"

"внедрение ai кейсы";rsya_tofu_ai_content;"бесплатно скачать курс обучение вакансии работа резюме";/;TOFU;"РСЯ/контент: кейсы + ретаргет на демо"
"примеры внедрения ai";rsya_tofu_ai_content;"бесплатно скачать курс обучение вакансии работа резюме";/;TOFU;"РСЯ/контент"
"эффекты внедрения искусственного интеллекта";rsya_tofu_ai_content;"бесплатно скачать курс обучение вакансии работа резюме";/;TOFU;"РСЯ/контент: «как считать эффект»"
"риски внедрения искусственного интеллекта";rsya_tofu_ai_content;"бесплатно скачать курс обучение вакансии работа резюме";/;TOFU;"РСЯ/контент: безопасность/ИБ"
"техническое задание разработка чат бота";rsya_tofu_chatbot_content;"бесплатно скачать курс обучение вакансии работа резюме";/;TOFU;"РСЯ/контент: чек‑лист ТЗ + ретаргет"
"этапы разработки чат бота";rsya_tofu_chatbot_content;"бесплатно скачать курс обучение вакансии работа резюме";/;TOFU;"РСЯ/контент"
"платформы !для разработки чат ботов";rsya_tofu_chatbot_content;"бесплатно скачать курс обучение вакансии работа резюме";/;TOFU;"РСЯ/контент (осторожно: конструкторы)"
"как использовать нейросети !для бизнеса";rsya_tofu_ai_content;"скачать курс обучение практикум интенсив вебинар";/;TOFU;"РСЯ/контент: гайд/чек‑лист"
